500
0 N 58 N 58 N 98 35 62 N 5 N N N N N 86 31 73 62 N N 52 45 52 66 N 0 N N N 54 N N 90 N N 31 N 4 80 55 20 N N 100 N N N 43 N 16 96 32 N N N 91 55 18 N 54 53 8 N N 69 N 96 21 N N N N 15 N N N 85 48 98 N N N 65 90 N N N 0 58 40 88 N 100 N 94 N 44 N 2 N N N N 45 47 N 77 25 93 1 82 N N N N 40 4 N 95 N 38 N 62 N N N N N N N N N N 15 83 42 N N N 59 52 N 37 6 57 N 49 N N N 76 N 16 N N 24 N N 60 N N 63 N 65 97 81 N N N N N N 8 N 50 N 74 5 70 95 N 45 21 52 90 80 60 N 41 8 17 N N N 39 67 N 92 40 N 60 38 N N 67 N N 76 67 N N 15 N 42 53 95 N N 59 91 N 51 N N 0 N N 72 77 54 N N N N 78 N 65 79 32 N N N N 40 N 15 36 N N 50 N N N 67 9 15 88 N N 13 2 98 66 N 23 N N 13 N N N N N 19 N N 46 24 31 65 N N 32 41 7 87 95 71 45 77 N N 2 N N N 15 17 N N N N 25 20 N N 76 76 28 N N 25 N 21 28 N 14 20 N 66 N 79 54 N 19 79 N N N N 31 95 57 78 60 65 71 26 N 54 N N 45 60 N 2 N 5 78 N 98 N N N 15 N N N N 60 N N 12 N N 90 N 71 24 N 3 91 N 84 66 82 33 86 41 N N N 40 N N N N N 4 N N 58 83 N N N 0 N N 24 N N 73 N 94 19 72 N 36 N 91 N N 73 16 100 N N 69 14 7 73 N N N N N 58 56 N 83 N 67 32 81 34 45 N N 5 50 39 28 68 N N 15 N 12 N 72 31 76 N N 42 0 N N N 11 12 77 61 N 53 81 34 N 5 1 73 N 82 35 95 53 41 N 34 64 N 84 N 30 N N 88 48 88 N 3 N N 16 N N 49 
N N 98 9 52 63 80 N N N N N N N N N 26 N 74 N N N 2 33 N N 81 26 43 N 53 N 3 N 20 N 64 74 N 54 100 N N N N 89 44 N 43 75 32 8 88 88 N N 4 50 44 N N N 61 N N 49 51 83 90 N N N N 65 16 N 34 N N 83 N 14 N N 30 N N N 74 8 50 N 27 N N N 8 N N N 61 71 N N N 41 23 81 N 54 N 23 N N N N N N N N N N N N 94 91 6 N N 66 N N N 26 N 21 86 75 17 83 6 23 N 83 23 N 30 10 19 41 N N 76 61 N N 49 N N N 95 N 30 34 0 86 20 93 79 N N 6 18 N N 69 80 N N N N N N N 95 N 42 6 81 34 99 48 N N N N N 5 N N 44 45 N 25 81 N N 11 N N 1 17 N N N N 64 N 35 29 74 46 15 76 N N 65 45 87 N 71 N 62 70 82 14 N N 0 27 81 N 12 100 89 N N 99 N 33 N N 45 69 55 65 65 39 N 19 N N 91 23 18 N N N 13 N 2 56 49 N N 71 24 38 70 18 N N N 11 30 N 12 76 N N 75 19 27 N N 15 10 N N N 73 N 47 9 77 N 90 4 N N N 10 N N 50 N N 3 N 59 N 31 N N 73 N N N N 5 44 N 93 26 N N N 22 N N N N N N N 82 N 60 42 N 79 51 87 54 50 38 42 30 52 48 N 46 89 98 67 N 12 28 N N N 10 N N N N 99 22 60 N 67 N N N N N 86 27 46 N N 68 N 78 N 33 N 98 N N N 50 1 N 91 N 78 N N 94 N N 39 1 N 5 N 4 57 N 92 N 78 49 N N N N 9 N N 61 N N N 61 N N N N N N 59 14 N 97 42 N 12 N 27 64 N N N N 91 N 73 N 62 N 11 N N 82 54 45 29 N N N 68 N 42 45 N 8 78 N N N 56 88 N N N N N 80 39 88 55 N 18 N N N N N 
N N N 35 N N N 94 20 23 N 69 12 N 46 50 N 13 N N N N N N 95 N 0 86 6 90 87 64 N 2 21 N 25 N N N N N N N N 52 76 75 N N N 69 52 N N N 7 N 69 52 N 54 N N 79 N N 44 81 49 31 N N N N N 10 N 77 86 N 61 64 N 8 17 89 77 46 N N N 56 3 N N N N 90 61 11 N 41 36 N N N 17 N N N 3 N 42 N N 83 N N 17 95 N 72 N N N 94 N N 97 60 N 52 46 86 71 64 N 57 N N 74 90 N 69 N N 2 58 77 N N N 92 96 N 59 97 94 N 11 N 67 N N N N N N N 54 42 37 29 N 91 N N N N N 63 N N 52 73 92 30 N 41 N N 15 N 52 64 N 31 N 34 72 N 48 72 N 60 N N N N 97 N N N N N 65 95 19 N 29 N N 54 N 56 N 98 25 38 N 1 N 97 N 94 84 90 N 0 N 37 N N 8 47 N 44 77 19 N N 7 83 87 N 70 81 N 71 79 N 36 N N 68 94 N N N 64 N N 97 4 9 N 72 23 N 58 N 90 42 8 N 68 98 N N 86 99 43 N N N N 57 3 84 N N 50 66 N N 40 N N N N 65 N N 7 N 70 N 84 98 N 82 N 4 91 11 44 41 55 N N N N N 84 44 85 37 34 N N N 87 100 56 N N 28 N 49 N 0 N N 41 24 N N N N 61 N 43 65 90 N 66 N 60 N N N N 75 80 81 N N 32 N 31 N N N N 41 69 N N N 71 N 94 97 77 63 83 9 N N N 22 N 99 N 6 0 78 N N 63 N N N N 7 89 N 48 N 39 N 61 N N N N 66 33 N N N 10 6 N 86 1 N 73 79 18 82 N 22 N 50 N N N N N 31 6 N N N 68 N N 100 N 45 49 30 N N N N 69 N 2 N N 8 72 94 N N 64 62 N 26 N N N 50 N N N N 37 97 N 63 N N N N 99 N 
N N 35 31 N 72 N 40 N 82 N 33 N N 20 N N N N N N N 3 N 4 8 16 73 40 N 48 98 N 79 22 N 13 N 9 35 24 25 N N N 68 1 59 29 N N N 67 81 3 1 N N N 0 4 74 62 N N 59 39 74 57 28 14 N 70 N N 96 N 76 N 80 N 78 N 71 33 N N 4 40 80 N N N 2 N 39 N 20 63 N 84 7 N N 43 N 60 80 N N 91 N 36 99 38 60 24 17 N 67 48 15 42 67 N N N 63 N 36 5 39 N 9 N 33 44 N N N 81 77 51 N 19 N N N 28 64 74 39 N N N N 47 75 N N N 47 91 12 N N 5 N 67 N N 36 N N N N N 6 N 41 N N N N 20 91 27 61 N N N 36 N N N N N N 81 69 23 94 92 14 53 N N N N N N N N N N 56 N N 97 N N 7 N 97 90 3 N N N 99 N N 58 N 7 N 26 N 11 76 0 52 N 48 N 4 N N 19 N N 55 N N 87 N 91 79 84 3 14 N N N 92 N N N N N 9 N 93 94 2 N 55 39 88 90 N N N N 48 N N 60 N 18 19 89 8 N N N 77 N N 32 N 88 N 24 6 N 54 72 N 56 22 N N N N N N 92 25 66 N 2 16 34 25 N N N 95 1 N N N N N N N 99 40 N N N 15 49 N 34 64 65 N 30 N N 31 88 N 11 N N 66 24 N 72 20 N 74 91 N N N 49 37 N N 74 N 73 N 19 52 N N N 84 77 N N N 4 N N N 17 12 N N 17 N N 8 N N 75 76 3 67 N 81 N N 49 N 91 N 3 47 N 8 20 75 N N N 88 N N N N N 14 63 N N N 92 30 36 44 51 87 36 11 N 66 N 79 23 31 N 63 N 4 55 N N N 39 96 43 36 N 88 38 N N 21 71 76 47 N 52 42 83 N N N 25 N N N 55 45 30 N 12 8 56 N N N 57 89 73 N 3 87 81 N 38 N N 
N 69 N N N 55 58 33 6 13 22 99 56 N 50 24 42 N 92 N 57 N 59 83 N 82 45 N 73 N N N 98 N 14 N 45 N 81 N 52 N N N 85 N 23 N N N N N N 2 N N 74 81 69 N 73 N 43 N 60 N N 47 N 14 N 86 N N N 55 35 54 100 39 62 52 N 47 N N N 7 N N N N N 95 N N N N 98 N 45 N N N N 60 N N 12 N 66 61 N 48 N 87 69 38 N N 81 N N N N N N N N 61 39 N N 9 N 46 N 95 49 72 N 96 N 89 N N N 98 N 58 N N N N N 27 N N 73 N 68 29 N 68 N 21 88 N 84 N 35 N 1 N 2 N N N N N N N 38 89 N 57 N N 34 N 98 19 N 64 N 72 0 N N 10 N 40 7 N N 54 96 N N N N 26 N N N 22 N 60 21 N 20 N 55 28 N N 79 31 N 71 64 62 N 92 89 N N 22 86 38 N 0 N 10 56 100 8 13 9 N N N N 29 N 64 N N 89 N 93 N N 97 N N 27 N N N 77 53 100 N 19 91 15 N N N 26 76 N 27 48 16 N 80 N 57 34 N N N 5 17 N N 17 N N N 69 N N 7 95 N 32 N 13 99 35 N N 23 79 N 23 N 16 N N N N N 100 42 N N N N 53 N 66 82 N N N N N N 49 48 15 17 N N N N 5 N N N N 64 N 97 N N N N N N 1 N N N 80 40 N 23 63 N 58 N N N 74 N N 9 2 72 N N N N N N 77 N N N 95 76 N 33 N 45 N N 8 N 6 N N 36 N 87 24 N 47 N 93 14 N 12 9 79 N 41 N 80 N 33 76 31 35 N 10 N N N N 38 N N 96 N N 86 N 49 27 30 N N 29 N N 18 74 13 N 99 N N 52 85 N N N N N 83 3 N 69 40 N 70 29 35 N N N 43 N N 24 49 N 41 N N 10 N 21 N 28 36 51 7 40 33 90 N 50 N 
N N 34 2 N N 37 N 41 95 N 58 19 12 11 N N 32 51 29 N N 22 N N N 33 N N N 95 25 N N 84 N N N 73 99 79 13 94 N 15 N 49 55 N N N 61 N 37 N 59 N 25 70 N N N N 43 N N N N N 53 N N 25 N 52 9 N 56 12 N N N 95 49 N N N N N 84 46 N 29 18 18 N N 24 16 90 42 47 N N 27 86 33 N 79 60 78 90 50 N N N N 27 N N N 75 N 42 25 100 6 55 85 N 62 12 97 N 74 N 0 N 40 N 93 50 21 5 N N N 80 N 2 N N N N N N 38 2 42 N 41 36 60 N N 14 10 N N 80 58 9 25 90 79 N 83 N 27 14 13 N N 22 N N 5 N N 42 50 N N N 74 35 N 18 N N 10 40 N N N 53 N 52 80 85 N N 4 N N 10 63 21 11 58 56 N 20 7 N 52 N N N 21 N 88 N 96 99 N 75 N N N 81 86 0 N N N N N 78 92 68 59 N 80 62 N N N N 35 N 31 5 N N N N N N 60 35 68 N N 54 N N N N N N N N 28 5 N N N N N N 98 N N 77 N 44 N 36 97 N 86 39 76 74 N 65 N N 71 N N N 93 N N N 68 N N N 97 6 17 N 59 33 N N 10 N N 3 N 16 N 39 N N N 2 24 21 12 N 5 68 N 11 N N 4 54 34 N 40 N N N 73 92 8 N N 83 59 69 6 N 78 36 N 42 N 42 N 88 43 89 N N 12 51 N N N N N 79 N N N 74 N N N N 23 95 N N 2 N 58 17 30 N 6 N 45 37 N 66 N 79 N N 27 73 29 73 81 93 N N N 89 N 95 N 31 N N 10 N 13 N 6 93 48 N N 49 85 79 55 N 46 7 N N 1 72 30 N 50 77 N N N N N 93 35 N N 26 76 64 N N N 72 84 N N 33 59 32 100 N 15 33 N 36 64 N N 3 N 58 10 10 N 11 98 N N N 93 
36 37 91 N 81 10 7 N 46 N 56 67 80 25 N 18 44 43 N 80 N 55 21 N N N N 98 N 54 85 N 30 69 N N N 57 54 N N N N 21 76 N N N 73 63 N N N N N 99 78 N 98 N 27 17 69 N N N 3 N 13 37 N N N N 90 N N N 66 35 N 84 75 N N N N N N N 38 42 N N 7 N 21 6 N 82 26 N N 66 74 N 17 N 17 N N N N N N N 54 N 41 34 N 83 N 99 N 65 45 52 97 45 N N 33 N N N 32 N N 80 91 31 N N 15 60 81 93 20 N N 42 N 45 N 66 55 N N 62 N N 74 89 N N 96 4 N N N 1 23 24 N 11 N N N N N N N 59 7 22 N N N 50 79 98 32 N N 62 N N 51 N 65 37 86 N N 45 88 100 3 N 35 16 N 99 N 83 N N 58 64 N 3 N 78 21 74 N N N N N 80 58 87 30 4 61 N N N N N 38 0 N N N 21 58 15 70 N N N 62 N N N 74 83 5 N 83 N 88 N 44 17 N N 22 N N 91 N N 62 N 84 78 77 N N N 23 86 N 29 N 2 N 91 N 35 N N 58 N 100 N 78 62 94 24 87 N N N 75 6 N N N 34 73 N N 92 N 1 40 N N N 38 N 91 91 71 45 13 40 N 4 N 60 98 79 N N 76 52 88 98 N N 87 85 56 N N 44 66 N N N 49 91 N N 56 27 92 99 N N 88 37 N 35 5 N N 8 64 N 23 N 11 37 44 N 46 N 22 N N N N 20 N N 36 N N 55 30 N N N 94 N N N 77 12 22 98 43 95 N 29 N N 50 87 N 9 N N N N N 93 95 N N 29 36 N 90 67 N 88 N N N 19 N 95 N 39 N 57 85 87 N 82 N N N 81 78 N 32 N 36 N N N 9 N N 4 72 36 N N N 17 N 43 83 N 98 75 N 77 N 58 26 40 13 N 63 N 66 N N N N 92 97 N N 69 N 70 14 N 
38 N N 87 N 31 N 66 N 10 N 58 N N 69 13 16 74 N 94 17 N N N 11 89 N 54 N N N 34 N 98 91 55 N N N N 99 N N 31 N 55 73 37 64 N N N 32 N N N 7 N N 44 34 63 N N N 21 12 25 53 87 90 N N 64 N 20 78 81 N N N 25 91 32 N N N 79 N N N N 25 N 79 5 N N N 82 60 81 69 N N 19 N 30 N N 87 15 N N 26 10 36 84 N N N N 64 19 N 55 97 0 N 63 N N N N 58 N N N 55 25 0 62 N 41 56 N 60 N N N N N 11 N 63 91 58 82 N 73 N N 35 86 N N N N N N N N 6 N N N 49 9 52 N N N N 73 N N N N 39 N 81 N 48 N N N N N 3 74 N N N N N N 31 N N 84 N 83 69 N N 19 N 15 N 87 0 N N 14 N N N 86 N 25 53 85 N 19 N 84 N 95 N N N 47 N 13 0 23 82 11 43 25 20 97 N 84 79 N 74 69 49 N 51 N 33 58 58 92 38 63 93 N 88 N 32 N N N 3 N 85 38 N N N 50 88 N N N N 85 N N 6 N 27 N 62 N 65 N N 4 96 N 59 68 63 1 N N 33 28 20 33 95 N N 26 N N 10 37 53 N N 74 N N 100 93 N N N 33 36 61 N 76 N 66 2 N 75 62 75 N 4 N 34 N 81 72 21 N N N N 24 N 56 13 N N N 51 87 N 57 N N N N N N 24 N N 18 N N N N N 67 N N N N N 57 89 N N 71 2 N 40 N N N N 41 N 12 95 21 N 11 N 13 N 1 N 13 N N 51 56 78 59 86 78 N N N 10 N 88 86 N 82 50 82 N 98 92 N N N 43 50 57 1 N N 9 66 N N N 21 91 N 24 N 7 32 N 97 61 N N 26 N 99 53 25 N 24 N N 57 75 77 N 23 47 48 N N N 14 77 85 N 37 N N 18 N 9 29 40 37 N 23 32 89 98 N 
49 35 N 79 N N 65 84 15 36 49 69 N N 16 96 N 93 39 N N N 8 43 N 8 16 N N 17 40 N N 27 31 N N 89 90 70 N 77 N 19 N N 74 N 91 N 72 17 48 N 45 33 N N 69 N 38 74 70 N N N N 21 83 20 11 N N 81 71 73 76 N N N 57 71 N N 90 N 83 77 35 19 67 72 N N 31 59 40 33 N N 7 N 37 27 N 50 6 58 64 N N 38 N N N N 42 46 5 N N 50 82 N N 51 61 39 15 9 N N N 15 N 84 N N 100 N 52 N N N N N N 50 N N 95 89 N 58 85 15 N N N N N 22 3 N 61 N 95 78 26 84 N N N N N N 38 30 N 96 94 83 N N 79 N 6 N N N 55 41 20 N N 76 45 69 N N 9 19 91 47 98 N N 1 N N N 74 48 N 55 N 67 60 N 90 64 48 19 55 34 93 52 24 100 27 N N N N 48 N 29 46 66 N N 6 74 N N 0 N 54 88 40 N 93 N N 12 N 35 36 N N 69 N 41 60 N 28 90 N N N N 17 49 N 89 N N 45 23 N 58 N N 34 3 85 N N N N N N N N N N N N 19 85 N 39 N 30 N 24 2 33 N N 74 N N 88 N 87 N 50 N N N 72 39 N N N 15 N N N 18 6 91 N 90 58 52 N 68 N 56 N 61 N 7 N N N N 6 76 N 90 62 N N 3 79 N N 1 69 54 86 N N 12 36 65 N N N N 0 N 70 50 97 65 N N 45 21 70 77 40 N N 100 55 N 90 N 36 90 99 62 N N 98 N N N 61 N N N N 31 91 N 44 37 N N N 20 85 87 N 93 5 96 N N 8 92 N N 90 N N 75 63 9 25 33 N 47 N N N 94 20 N 95 85 7 49 3 N N 11 15 N N 25 N N N N N N N N N N N 99 59 N N 6 65 N 4 N N N N N N N N N N 47 49 100 93 N N N 8 N N N 58 70 2 
N N 66 N 80 N N 96 25 N N 72 N 10 36 82 N N 87 N 55 N 82 N 60 10 31 44 86 N N 83 N N 31 N 14 N 0 56 N 36 N N N 81 89 46 N N N N 22 N 22 94 60 N N N N 71 23 66 N 95 43 N 90 N 54 N N N N 98 64 11 N 26 N N N 13 40 38 N N 16 37 N 91 N 32 N 96 N 85 N 70 96 N 71 98 2 11 N N N N N 96 22 N N N 3 N N N N 24 47 60 N N N 25 71 41 N 60 71 N N N N N N 0 N N 53 30 74 83 79 N 37 N N 10 3 52 5 N N N N 46 N 79 N N N 25 97 N 5 13 84 27 60 N 100 46 N 75 20 3 20 40 45 64 N N 77 N N N 12 42 7 63 55 N N 23 N N 51 95 100 N 99 N N N N N N 12 N N N N N 18 80 N N 76 N N N N 78 N 58 N 7 98 N 51 N 47 N N 42 N N N N 23 84 N 0 62 100 36 N N 86 N 66 N 38 35 N N 29 65 N N 2 100 59 14 N N 29 N N 5 N N 77 N N 25 55 N N 14 N N N 39 25 34 71 45 9 15 73 28 56 N 88 34 N N 40 98 N 17 N N N 26 27 N N N N N 54 81 95 30 28 N 42 N N 50 23 27 64 N N 89 76 49 N 38 N N 7 86 0 N 77 N N N N 75 47 N N 62 42 77 37 61 N 60 68 60 N 3 N N N 100 78 38 N 27 N N N 30 N N N 69 N N N 91 1 22 N 41 45 N 76 75 N 52 99 5 17 N 53 N 46 46 39 87 77 99 N 23 28 86 15 N 14 N N N 23 N 80 N 92 14 13 100 N 88 85 26 N N 97 73 N 19 N N N N N 89 80 58 28 N 34 20 67 N 82 7 2 56 65 96 57 N N 41 N N N N N N 88 61 1 42 N N N 4 84 N N 64 71 N 82 33 32 N 51 14 N N N N N 2 N 30 16 13 94 7 N 100 37 85 72 86 
25 N 24 N 64 70 N N 1 N N N N 83 5 2 N 54 86 N 71 31 14 59 N N N N 8 68 39 3 53 N 22 N N N 1 N N N 50 10 94 N 22 N N 14 65 9 7 43 N N N N N N N 70 N N N 73 94 N N 77 11 N N 77 10 0 93 44 42 10 31 N 84 40 1 75 77 N N N 36 N N N 92 84 42 16 N 56 N 23 N N 21 63 12 N 73 6 N 99 N 56 N 64 58 N 69 N N 25 N 55 N N 61 90 N 28 5 N N N 40 N 71 96 N N N 27 9 0 N 80 63 N 42 63 39 79 53 N 91 N N 72 N 56 33 N N 27 80 N 16 49 39 54 22 29 N N 29 N N 86 N N N N 68 48 32 53 64 30 11 79 2 7 94 N N 71 86 45 81 58 N N N 77 N N 67 56 N 56 67 N 26 N 58 69 63 14 92 N 15 N 92 N 35 82 13 N N 40 10 40 91 94 72 N N 30 N 11 N N N 72 N N N 0 N 6 N N 59 20 N 29 56 17 N 47 N N 99 N 7 64 N N 64 64 N 44 20 N 9 N N N 16 N N 54 N N N N 26 N 5 N N N 66 23 86 73 18 6 93 N 32 69 N 88 N N N N 85 N 86 100 73 85 82 N 80 N N 21 N 6 42 N 56 N 90 N 36 2 N N 92 87 55 5 76 73 86 69 N N N N N 3 N 20 N N 17 N N N N 81 N 86 96 81 N N 94 75 13 N N N N 2 N 91 58 33 N N 49 66 N N 37 N N 89 0 85 51 N 52 N N N N 56 58 N N N N 3 N 41 N 3 N N N 53 N 4 72 95 N 20 76 20 88 N N N N N N 64 72 56 29 38 80 15 91 N 77 N N N N N 92 N N N N N 10 23 N 36 73 N N N 94 26 74 N 71 95 27 31 N 11 N N 24 28 81 N 20 44 N 29 82 16 6 N N 15 78 23 71 43 N N N 3 N N N 84 N 79 61 N N 20 4 78 77 48 
35 N 62 N 76 80 N 56 51 N 43 N 18 11 N N 24 54 42 N 34 86 N 28 50 40 N 91 85 70 18 N 65 N 89 N N 5 N N N 19 N N N N 90 18 N 92 N N N N N N 32 N N N N N N 52 N N N 91 N 78 N 71 N 55 97 89 N N 59 N 96 5 N 36 85 77 64 29 N 81 N 63 0 70 77 N N N 49 N N N 59 76 N 52 93 N N 71 10 82 N N 12 83 68 33 N 3 N N 25 N N N 14 19 45 N 21 54 74 76 76 39 N N 75 N 99 N N 65 49 81 N 25 N N N N 10 17 32 N N 19 N N N 48 34 N N 99 N N 40 4 78 83 94 52 76 58 31 N 91 19 7 72 80 N 58 22 N N N 95 4 87 N N N N 95 N 52 83 N 64 N N 49 67 26 76 73 93 N N 25 9 N N N N 88 92 N N N N N 41 N N 23 81 31 N N 24 67 61 N N N 0 18 39 13 13 72 8 N N 0 48 41 5 41 43 N 0 N N N N 25 43 54 83 N 57 66 59 N N 35 30 62 43 N N N N 92 64 32 33 17 54 N N 29 N 49 33 47 N N 85 N 93 N N N N 63 29 N N N 62 N 81 N 46 N N N 28 71 N 69 N 35 N 91 75 60 N N N 48 N N N N 7 N 52 N 38 60 13 37 69 71 91 N 27 N 52 21 N 95 N N 76 39 N N N N 28 52 N 67 46 60 N N N N N 53 N N N N N 59 N N N N 60 94 N 2 74 N N N N 47 66 N N 6 64 22 13 92 N 23 N 84 N N N N 32 N N 43 N N N 10 96 23 56 N 45 23 N N 94 33 14 N 12 N 17 N 55 N N 29 N N 17 16 32 N N N N 33 10 N N 65 N N N N N N 71 N N N 74 11 N N N N 61 N 4 68 14 35 99 N 21 N 99 36 45 47 41 28 N 66 N 88 96 44 N N 56 N 41 N N N 41 N N N 51 55 9 
58 78 N 6 N N 61 63 8 91 43 N N N N N 38 83 N N 11 33 N 61 N 43 76 N 58 56 20 N 92 10 N N N 100 N N N 18 38 N 100 60 4 N 29 73 N 37 N 52 54 55 1 N 59 N N 82 N N 16 24 57 N N 80 N N N N N N N 36 N N 9 96 N 44 N 77 49 N N N 46 N N N N 8 42 94 N N 66 N 72 72 N N N 65 64 94 N N N N 65 39 N N 48 27 26 N 44 53 14 88 N N 27 35 94 9 N N 14 N 61 77 50 N 91 10 61 16 N N N 47 57 N 64 N 34 75 75 67 N N 86 N N N N 92 N N 90 N 2 N 7 14 N N N 61 79 N 96 N 82 N 12 29 N 95 23 2 N 54 17 53 N 57 74 60 N 77 11 N N 27 N 61 1 23 75 57 N 92 N 40 64 84 46 67 N N 3 56 N 16 75 49 40 N 79 59 N 65 20 2 91 77 N 72 N N 96 9 N 41 N 47 N N N N N 0 36 N N N N 72 18 74 N 27 52 N N 56 N 1 N 14 64 N N N 81 70 N N 31 N N 91 N N N N N N 42 46 N 55 N N 10 N N N 69 86 41 19 21 N 19 N 72 N 81 16 N 71 N 56 97 89 51 N N 64 88 N N 30 N 64 58 11 17 12 N 67 40 92 N N N 49 N N N 72 N N 0 31 N N 42 49 N 2 74 N N N N 49 76 N 22 N N N 78 72 24 N 56 74 86 N N N 52 89 N N 99 N 19 N 70 N N N 5 38 N 95 82 N N N N 13 N N N 82 8 N N 49 30 N N N 39 21 81 96 N N 56 N N 40 N 16 N N N N N 41 82 N 25 48 N 27 63 6 18 N 59 99 N N N N N 46 N N N N 29 28 78 70 N N N N 74 N N N 1 18 N 73 N N N 5 75 N 4 22 N N N N N N N 29 12 59 24 14 N 86 N N N 71 64 N N 25 N 83 N 38 33 N N N 
N N 85 73 N 24 69 N N N 89 N 21 N 15 39 88 41 20 N 30 66 N 18 41 53 N N N N N 100 N 88 N N 13 27 N 13 N N N 34 N N 44 N N N 20 88 20 N 86 51 99 68 N 56 56 N 73 39 N N N 16 N N 65 93 31 70 55 N 52 95 25 24 79 40 36 N 50 76 36 86 N N 32 87 64 N 67 N 92 63 N N 13 27 40 N N N 64 35 N 18 8 43 60 N 9 28 14 83 14 66 31 38 25 N N N 16 15 N N 29 N N 17 28 N 29 N N 15 N N N 22 N N 61 N N N 98 61 N 2 N N 81 N 84 84 N N N 12 16 3 N N 93 N N 71 100 37 N 99 98 48 39 N 33 73 N N 45 80 N N N N N 79 76 N 44 56 N N 45 49 N N N 44 N 66 N N 74 N 48 61 N N 97 N N N N 0 55 32 N 81 79 14 N 2 N 64 65 N N N N N N N N N N 36 13 73 N 19 N 58 N N 0 47 60 82 N N 96 N N 67 N 25 77 N N 14 34 N 58 73 N N 10 N N 39 N 34 N 80 84 66 N N 13 84 N 78 98 67 N 86 N 23 95 N N 85 75 N 57 40 N N N 76 61 27 50 81 46 86 N 80 91 97 49 N N N 65 N 85 44 0 N 91 N N N N 17 N 88 N N N 93 98 N 69 67 91 N N 34 31 17 49 87 N 15 N 23 N 72 48 N 16 42 N N 67 N N N 30 61 95 N N 88 N 13 N 51 31 N 17 N N 31 N N N N 65 87 52 5 N N 88 N N 60 84 N N N N N N N 27 30 N 53 6 100 100 N 53 78 79 7 95 N 43 N 39 33 39 56 83 N N 78 54 40 N 84 29 N 8 29 N N N 2 44 N 74 92 1 77 0 26 70 91 N N 18 5 67 N 78 8 71 62 3 28 N 73 22 N N N N 49 N 34 8 61 N N 47 N N 77 N N N 5 30 89 N 50 N 1 98 N 93 N N N N N 36 N 
87 72 N 76 15 N N N 21 N 71 N N 92 27 N 12 N 37 N 54 N N 80 N 14 N N 51 14 64 N 57 82 N 85 N N 22 N 71 88 7 N 9 67 N N 79 86 38 N N 23 36 N 27 63 N N 71 N 44 N N N 38 N 21 52 N 91 N 14 N N 45 44 N N N N 35 N N 76 99 N 67 N 79 N 33 N 19 39 N 84 N 80 N 67 80 N N 5 23 N N N N 35 N N N 27 N N N 80 N 25 82 N 83 N N N 30 30 31 N 38 N N N N 92 90 N N 40 61 94 30 N 89 86 N N N N N N 80 N 78 N N 83 N 87 99 N N 58 N N 53 8 N 18 N 60 N 39 N N 52 17 N 77 78 19 N N N N N 48 17 N 36 N N 95 0 N N 89 66 N N 10 N 29 N 72 96 N 50 80 N 52 28 9 N 56 37 76 N 84 N 67 N N 2 53 N N N N 77 91 N N 38 N N 14 9 47 N 83 6 67 N N N 32 N 0 N 95 N 23 N N 9 N N N N N 7 N 57 N N N 21 N N 51 N N 47 59 5 57 N N N N N N 8 N 60 18 23 71 N 74 81 N N 43 N 15 51 51 69 N N 89 N N 55 N N N 34 N N 10 68 N 78 N N N 24 76 N 56 N N 7 58 6 N N N 24 N N N 96 N N N N N N 13 N N N 0 N N N 80 N N N N N N 22 N 90 67 2 1 N N N N N 55 83 N 94 3 0 N N N N 86 N 41 N N 21 30 N 68 N 50 N 32 55 90 53 N 2 99 N N N 81 N 9 N 40 95 N 7 N N 55 93 N 17 65 N N 62 N 26 N N 40 82 N N N 26 N 49 N N N 95 N N N 93 N 10 N N 29 N 73 83 66 N 23 N 54 N 56 37 28 95 24 92 5 N N N N 74 N N N N N N 49 41 80 2 45 N N N 39 65 14 N 15 N N N N N 94 96 35 N N 2 95 29 N 
